scenario,sf,workers,strategy,query_id,distributed_elapsed_sec,baseline_elapsed_sec,speedup,speedup_class
SF10_N2_D1,10,2,D1,Q236,3.427,18.263,5.329150860811206,Citus mai rapid
SF10_N2_D1,10,2,D1,Q239,2.079,9.027,4.341991341991341,Citus mai rapid
SF10_N2_D1,10,2,D1,Q240,16.678,17.475,1.047787504496942,Citus mai rapid
SF10_N2_D1,10,2,D1,Q241,7.124,20.256,2.8433464345873105,Citus mai rapid
SF10_N2_D1,10,2,D1,Q242,93.455,63.084,0.6750200631319887,Citus mai lent
SF10_N2_D1,10,2,D1,Q243,2.783,7.448,2.676248652533238,Citus mai rapid
SF10_N2_D1,10,2,D1,Q244,3.131,9.363,2.9904183966783777,Citus mai rapid
SF10_N2_D1,10,2,D1,Q245,3.246,9.252,2.8502772643253236,Citus mai rapid
SF10_N2_D1,10,2,D1,Q246,7.294,12.588,1.725802029064985,Citus mai rapid
SF10_N2_D1,10,2,D1,Q247,2.256,14.549,6.449024822695036,Citus mai rapid
SF10_N2_D1,10,2,D1,Q249,1.373,5.088,3.705753823743627,Citus mai rapid
SF10_N2_D1,10,2,D1,Q250,0.643,4.614,7.175738724727838,Citus mai rapid
SF10_N2_D2,10,2,D2,Q001,59.639,14.165,0.23751236606918288,Citus mai lent
SF10_N2_D2,10,2,D2,Q002,8.504,6.954,0.8177328316086547,Citus mai lent
SF10_N2_D2,10,2,D2,Q003,19.299,11.01,0.570495880615576,Citus mai lent
SF10_N2_D2,10,2,D2,Q004,15.177,12.679,0.8354088423272057,Citus mai lent
SF10_N2_D2,10,2,D2,Q005,13.783,29.054,2.107959080026119,Citus mai rapid
SF10_N2_D2,10,2,D2,Q006,160.155,114.241,0.7133152258749337,Citus mai lent
SF10_N2_D2,10,2,D2,Q007,0.987,1.416,1.4346504559270516,Citus mai rapid
SF10_N2_D2,10,2,D2,Q008,106.709,36.293,0.34011189309242895,Citus mai lent
SF10_N2_D2,10,2,D2,Q009,1.695,2.814,1.6601769911504425,Citus mai rapid
SF10_N2_D2,10,2,D2,Q010,7.825,1.232,0.157444089456869,Citus mai lent
SF10_N2_D2,10,2,D2,Q011,2.554,8.14,3.1871574001566176,Citus mai rapid
SF10_N2_D2,10,2,D2,Q012,3.447,5.473,1.5877574702639976,Citus mai rapid
SF10_N2_D2,10,2,D2,Q014,0.457,1.356,2.9671772428884027,Citus mai rapid
SF10_N2_D2,10,2,D2,Q015,0.401,0.976,2.4339152119700747,Citus mai rapid
SF10_N2_D2,10,2,D2,Q016,11.488,74.557,6.489989554317549,Citus mai rapid
SF10_N2_D2,10,2,D2,Q017,3.91,20.213,5.1695652173913045,Citus mai rapid
SF10_N2_D2,10,2,D2,Q018,11.062,19.686,1.7796058578918823,Citus mai rapid
SF10_N2_D2,10,2,D2,Q019,12.618,10.85,0.8598827072436201,Citus mai lent
SF10_N2_D2,10,2,D2,Q020,3.57,2.44,0.6834733893557423,Citus mai lent
SF10_N2_D2,10,2,D2,Q021,3.341,13.512,4.044298114337025,Citus mai rapid
SF10_N2_D2,10,2,D2,Q022,3.127,13.058,4.175887432043492,Citus mai rapid
SF10_N2_D2,10,2,D2,Q023,25.541,83.746,3.278884930112368,Citus mai rapid
SF10_N2_D2,10,2,D2,Q025,3.776,33.951,8.991260593220339,Citus mai rapid
SF10_N2_D2,10,2,D2,Q026,2.98,6.453,2.1654362416107382,Citus mai rapid
SF10_N2_D2,10,2,D2,Q027,1.271,5.613,4.416207710464202,Citus mai rapid
SF10_N2_D2,10,2,D2,Q028,1943.045,2.517,0.00129538945315214,Citus mai lent
SF10_N2_D2,10,2,D2,Q029,2.235,6.462,2.891275167785235,Citus mai rapid
SF10_N2_D2,10,2,D2,Q030,6.473,25.758,3.979298625057933,Citus mai rapid
SF10_N2_D2,10,2,D2,Q031,104.664,22.101,0.2111614308644806,Citus mai lent
SF10_N2_D2,10,2,D2,Q032,1.907,6.982,3.6612480335605664,Citus mai rapid
SF10_N2_D2,10,2,D2,Q033,22.436,64.335,2.8674897486182918,Citus mai rapid
SF10_N2_D2,10,2,D2,Q034,11.601,23.185,1.9985346090854235,Citus mai rapid
SF10_N2_D2,10,2,D2,Q035,1.585,8.286,5.227760252365931,Citus mai rapid
SF10_N2_D2,10,2,D2,Q036,2.277,27.746,12.185331576635923,Citus mai rapid
SF10_N2_D2,10,2,D2,Q037,3.977,14.301,3.5959265778224796,Citus mai rapid
SF10_N2_D2,10,2,D2,Q038,22.897,22.293,0.9736209983840678,Citus mai lent
SF10_N2_D2,10,2,D2,Q039,2.39,19.483,8.151882845188284,Citus mai rapid
SF10_N2_D2,10,2,D2,Q041,5.561,6.9,1.240784031648984,Citus mai rapid
SF10_N2_D2,10,2,D2,Q042,66.093,11.448,0.17321047614724705,Citus mai lent
SF10_N2_D2,10,2,D2,Q043,2.122,11.227,5.290763430725731,Citus mai rapid
SF10_N2_D2,10,2,D2,Q044,10.667,25.72,2.4111746507921628,Citus mai rapid
SF10_N2_D2,10,2,D2,Q045,109.986,32.64,0.2967650428236321,Citus mai lent
SF10_N2_D2,10,2,D2,Q046,7.35,6.101,0.8300680272108844,Citus mai lent
SF10_N2_D2,10,2,D2,Q047,17.269,24.671,1.428629335804042,Citus mai rapid
SF10_N2_D2,10,2,D2,Q048,2.792,8.454,3.027936962750717,Citus mai rapid
SF10_N2_D2,10,2,D2,Q049,2.891,8.067,2.7903839501902454,Citus mai rapid
SF10_N2_D2,10,2,D2,Q052,809.747,5.593,0.006907095673092954,Citus mai lent
SF10_N2_D2,10,2,D2,Q053,809.137,3.948,0.004879272607728976,Citus mai lent
SF10_N2_D2,10,2,D2,Q054,4.804,10.423,2.1696502914238134,Citus mai rapid
SF10_N2_D2,10,2,D2,Q055,9.324,26.46,2.837837837837838,Citus mai rapid
SF10_N2_D2,10,2,D2,Q056,9.947,17.516,1.760932944606414,Citus mai rapid
SF10_N2_D2,10,2,D2,Q057,24.771,6.109,0.2466190303177102,Citus mai lent
SF10_N2_D2,10,2,D2,Q058,29.506,10.566,0.3580966583067851,Citus mai lent
SF10_N2_D2,10,2,D2,Q059,28.331,8.946,0.31576718082665634,Citus mai lent
SF10_N2_D2,10,2,D2,Q060,48.688,1.174,0.024112717712783435,Citus mai lent
SF10_N2_D2,10,2,D2,Q062,2.193,17.122,7.807569539443684,Citus mai rapid
SF10_N2_D2,10,2,D2,Q063,1.459,7.527,5.159013022618232,Citus mai rapid
SF10_N2_D2,10,2,D2,Q066,3.14,13.022,4.147133757961783,Citus mai rapid
SF10_N2_D2,10,2,D2,Q067,30.863,14.099,0.45682532482260313,Citus mai lent
