sf,strategy,query_id,elapsed_N2,elapsed_N5,node_scaling_speedup,time_reduction_pct,scaling_efficiency,time_comparison_class
10,D2,Q234,17.904,15.234,1.1752658526979125,14.912868632707774,0.470106341079165,N5 mai rapid
10,D2,Q236,5.03,6.021,0.835409400431822,-19.70178926441351,0.3341637601727288,N2 mai rapid
10,D2,Q239,4.01,1.572,2.55089058524173,60.79800498753117,1.020356234096692,N5 mai rapid
10,D2,Q240,7.64,7.587,1.0069856333201528,0.6937172774869103,0.4027942533280611,Similar (+/-5%)
10,D2,Q241,12.977,12.95,1.0020849420849423,0.2080604145796488,0.4008339768339769,Similar (+/-5%)
10,D2,Q242,13.416,13.816,0.9710480602200348,-2.9815146094215885,0.3884192240880139,Similar (+/-5%)
10,D2,Q243,3.633,8.674,0.41883790638690344,-138.75584916047345,0.16753516255476136,N2 mai rapid
10,D2,Q244,2.626,2.503,1.0491410307630842,4.683929931454676,0.41965641230523365,Similar (+/-5%)
10,D2,Q245,2.724,2.72,1.0014705882352941,0.14684287812041127,0.40058823529411763,Similar (+/-5%)
10,D2,Q246,3.594,3.357,1.0705987488829312,6.59432387312186,0.4282394995531725,N5 mai rapid
50,D1,Q001,24.039,127.835,0.18804709195447258,-431.7816880901868,0.07521883678178903,N2 mai rapid
50,D1,Q002,11.571,9.894,1.1694966646452396,14.49312937516204,0.4677986658580958,N5 mai rapid
50,D1,Q003,72.47,72.294,1.0024345035549285,0.24285911411618868,0.40097380142197137,Similar (+/-5%)
50,D1,Q004,25.872,27.112,0.9542637946296844,-4.792826221397644,0.38170551785187373,Similar (+/-5%)
50,D1,Q005,54.805,23.456,2.3365023874488404,57.20098531155916,0.9346009549795362,N5 mai rapid
50,D1,Q006,20.963,5.859,3.577914319849804,72.05075609407051,1.4311657279399215,N5 mai rapid
50,D1,Q007,1.594,1.019,1.5642787046123654,36.072772898368896,0.6257114818449462,N5 mai rapid
50,D1,Q008,20.608,17.507,1.1771291483406636,15.04755434782608,0.47085165933626544,N5 mai rapid
50,D1,Q009,4.037,4.105,0.9834348355663823,-1.684419123111234,0.3933739342265529,Similar (+/-5%)
50,D1,Q010,2.026,1.939,1.04486848891181,4.29417571569594,0.41794739556472404,Similar (+/-5%)
50,D1,Q011,21.466,21.329,1.0064231797083782,0.6382185782167169,0.4025692718833513,Similar (+/-5%)
50,D1,Q012,24.03,23.284,1.0320391685277446,3.104452767374125,0.4128156674110978,Similar (+/-5%)
50,D1,Q014,1.583,1.692,0.9355791962174941,-6.885660138976626,0.3742316784869976,N2 mai rapid
50,D1,Q015,0.856,0.929,0.921420882669537,-8.528037383177578,0.3685683530678148,N2 mai rapid
50,D1,Q016,220.979,187.915,1.1759518931431765,14.962507749605175,0.4703807572572706,N5 mai rapid
50,D1,Q017,23.415,22.758,1.0288689691537043,2.805893657911595,0.4115475876614817,Similar (+/-5%)
50,D1,Q018,41.112,35.329,1.1636898864955136,14.06645261724071,0.46547595459820545,N5 mai rapid
50,D1,Q019,57.124,4.662,12.253110253110254,91.83880680624607,4.901244101244101,N5 mai rapid
50,D1,Q020,2.856,1.921,1.486725663716814,32.738095238095234,0.5946902654867257,N5 mai rapid
50,D1,Q021,15.117,15.928,0.9490833751883476,-5.364821062380101,0.37963335007533905,N2 mai rapid
50,D1,Q022,13.995,14.556,0.9614591920857378,-4.008574490889603,0.3845836768342951,Similar (+/-5%)
