mtry,min_n,.metric,.estimator,mean,n,std_err,.config
33,15,rmse,standard,0.4180981309608138,5,0.01516480151728447,Preprocessor1_Model73
33,15,rsq,standard,0.7672157647913015,5,0.014551819832134938,Preprocessor1_Model73
8,7,mae,standard,0.3366543829548288,5,0.00856571791722052,Preprocessor1_Model74
8,7,rmse,standard,0.43733425437829004,5,0.015589962136759596,Preprocessor1_Model74
8,7,rsq,standard,0.7685009431108153,5,0.016734128125947934,Preprocessor1_Model74
4,28,mae,standard,0.45005703996606955,5,0.007282468671982793,Preprocessor1_Model75
4,28,rmse,standard,0.5597079003863538,5,0.012202493191099536,Preprocessor1_Model75
4,28,rsq,standard,0.674570495624707,5,0.01871858966326146,Preprocessor1_Model75
24,2,mae,standard,0.2781815806076909,5,0.008722485551914745,Preprocessor1_Model76
24,2,rmse,standard,0.3839834747935832,5,0.01601673733003501,Preprocessor1_Model76
24,2,rsq,standard,0.8026597830241369,5,0.014043246584543652,Preprocessor1_Model76
16,27,mae,standard,0.3604376334564249,5,0.010540687820303556,Preprocessor1_Model77
16,27,rmse,standard,0.4687838321440396,5,0.016975828445820358,Preprocessor1_Model77
16,27,rsq,standard,0.7130540215437702,5,0.01956560277733457,Preprocessor1_Model77
22,18,mae,standard,0.33218959804482456,5,0.009329351007791484,Preprocessor1_Model78
22,18,rmse,standard,0.43784412826370506,5,0.016194008635738118,Preprocessor1_Model78
22,18,rsq,standard,0.7468138158794642,5,0.0168648860651637,Preprocessor1_Model78
9,30,mae,standard,0.384298496098981,5,0.009356566292888556,Preprocessor1_Model79
9,30,rmse,standard,0.49191702554457933,5,0.015545792338574506,Preprocessor1_Model79
9,30,rsq,standard,0.703469223673656,5,0.01991812971710366,Preprocessor1_Model79
11,27,mae,standard,0.36940353125280406,5,0.010229081426119571,Preprocessor1_Model80
11,27,rmse,standard,0.47670755027546297,5,0.01679362069857785,Preprocessor1_Model80
11,27,rsq,standard,0.7128998249028533,5,0.02003071223583918,Preprocessor1_Model80
35,28,mae,standard,0.3515421075411816,5,0.00880263607416112,Preprocessor1_Model81
35,28,rmse,standard,0.4597442285123992,5,0.015038125245058128,Preprocessor1_Model81
35,28,rsq,standard,0.718018084706288,5,0.016020423242902947,Preprocessor1_Model81
11,22,mae,standard,0.3603618380771711,5,0.009828719914692677,Preprocessor1_Model82
11,22,rmse,standard,0.4663591902111456,5,0.016491352037654294,Preprocessor1_Model82
11,22,rsq,standard,0.7257433946753191,5,0.019495077672381192,Preprocessor1_Model82
13,27,mae,standard,0.3645375440544646,5,0.010613918758873863,Preprocessor1_Model83
13,27,rmse,standard,0.4723485770883572,5,0.016958082682567623,Preprocessor1_Model83
13,27,rsq,standard,0.7133060450719813,5,0.020184484460334884,Preprocessor1_Model83
21,21,mae,standard,0.3410377525412192,5,0.010076816955878731,Preprocessor1_Model84
21,21,rmse,standard,0.44725372100871724,5,0.016992621757718856,Preprocessor1_Model84
21,21,rsq,standard,0.7360739771289221,5,0.01837626591624683,Preprocessor1_Model84
18,7,mae,standard,0.2987563758197248,5,0.009516244093073917,Preprocessor1_Model85
18,7,rmse,standard,0.40232502578091894,5,0.016601855080211586,Preprocessor1_Model85
18,7,rsq,standard,0.7864675143265127,5,0.015807901628783462,Preprocessor1_Model85
36,31,mae,standard,0.3584511271277453,5,0.008718784951809722,Preprocessor1_Model86
36,31,rmse,standard,0.4673186742923835,5,0.014756374408871155,Preprocessor1_Model86
36,31,rsq,standard,0.7084206426134491,5,0.01602159553386494,Preprocessor1_Model86
31,32,mae,standard,0.3624277811095309,5,0.009276654811457249,Preprocessor1_Model87
31,32,rmse,standard,0.47130774303485046,5,0.015456950756515925,Preprocessor1_Model87
31,32,rsq,standard,0.7040328505108361,5,0.017196371119205727,Preprocessor1_Model87
16,30,mae,standard,0.3658019327678233,5,0.010938031748081962,Preprocessor1_Model88
16,30,rmse,standard,0.4743886965572059,5,0.017455805031383255,Preprocessor1_Model88
16,30,rsq,standard,0.7059688031319878,5,0.020686388755341956,Preprocessor1_Model88
25,18,mae,standard,0.3286328708355206,5,0.008882825766861717,Preprocessor1_Model89
25,18,rmse,standard,0.43421404969238525,5,0.015905943587953025,Preprocessor1_Model89
25,18,rsq,standard,0.7499820235813933,5,0.016374410234497316,Preprocessor1_Model89
24,38,mae,standard,0.3745692216801203,5,0.010589243925263519,Preprocessor1_Model90
24,38,rmse,standard,0.4851879081804808,5,0.016572575931848414,Preprocessor1_Model90
24,38,rsq,standard,0.686969810080621,5,0.019602332821347965,Preprocessor1_Model90
