mtry,min_n,.metric,.estimator,mean,n,std_err,.config
32,25,roc_auc,binary,0.8811833199407387,5,0.02092952302259182,Preprocessor1_Model54
32,25,sens,binary,0.9691356859446053,5,0.024024963194966532,Preprocessor1_Model54
32,25,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model54
18,24,accuracy,binary,0.9032829131652661,5,0.019148469217994794,Preprocessor1_Model55
18,24,bal_accuracy,binary,0.6912489730717923,5,0.0694394440451089,Preprocessor1_Model55
18,24,roc_auc,binary,0.8939911548780214,5,0.019101073691433816,Preprocessor1_Model55
18,24,sens,binary,0.9712272854347218,5,0.023141416551428953,Preprocessor1_Model55
18,24,spec,binary,0.411270660708863,5,0.15187880613512697,Preprocessor1_Model55
35,27,accuracy,binary,0.9002240896358543,5,0.02019689816011064,Preprocessor1_Model56
35,27,bal_accuracy,binary,0.6886881883886309,5,0.06912168880127992,Preprocessor1_Model56
35,27,roc_auc,binary,0.8735199182833647,5,0.02464344299826207,Preprocessor1_Model56
35,27,sens,binary,0.9683529070796347,5,0.024794173771761987,Preprocessor1_Model56
35,27,spec,binary,0.409023469697627,5,0.1523768577290405,Preprocessor1_Model56
5,34,accuracy,binary,0.9065658263305322,5,0.025928345036589147,Preprocessor1_Model57
5,34,bal_accuracy,binary,0.6280287419781392,5,0.05945480738424273,Preprocessor1_Model57
5,34,roc_auc,binary,0.9021559026579198,5,0.02301045652263656,Preprocessor1_Model57
5,34,sens,binary,0.9866808842425999,5,0.007074264812067007,Preprocessor1_Model57
5,34,spec,binary,0.2693765997136784,5,0.11788952921909779,Preprocessor1_Model57
14,30,accuracy,binary,0.9024425770308123,5,0.020641210071918208,Preprocessor1_Model58
14,30,bal_accuracy,binary,0.6371118988177411,5,0.05527680439866945,Preprocessor1_Model58
14,30,roc_auc,binary,0.8969192888688854,5,0.018613945654174385,Preprocessor1_Model58
14,30,sens,binary,0.9778809057869723,5,0.016684822073640117,Preprocessor1_Model58
14,30,spec,binary,0.2963428918485098,5,0.11115998461219215,Preprocessor1_Model58
6,11,accuracy,binary,0.905109243697479,5,0.02237953529868687,Preprocessor1_Model59
6,11,bal_accuracy,binary,0.6398615195218023,5,0.05921387296381108,Preprocessor1_Model59
6,11,roc_auc,binary,0.9078870181822625,5,0.019742775327284696,Preprocessor1_Model59
6,11,sens,binary,0.9825775789767962,5,0.012254794861238396,Preprocessor1_Model59
6,11,spec,binary,0.29714546006680836,5,0.12007318523750507,Preprocessor1_Model59
26,14,accuracy,binary,0.9021624649859944,5,0.019724992973032294,Preprocessor1_Model60
26,14,bal_accuracy,binary,0.6923157120102802,5,0.06949389733821348,Preprocessor1_Model60
26,14,roc_auc,binary,0.8893107956708762,5,0.017590514276892007,Preprocessor1_Model60
26,14,sens,binary,0.9688663812892255,5,0.022055984380633865,Preprocessor1_Model60
26,14,spec,binary,0.41576504273133486,5,0.1509781471637132,Preprocessor1_Model60
23,12,accuracy,binary,0.9010532212885154,5,0.02015491634731013,Preprocessor1_Model61
23,12,bal_accuracy,binary,0.6945123302296782,5,0.06834770152490231,Preprocessor1_Model61
23,12,roc_auc,binary,0.8873111567551129,5,0.016341647426975213,Preprocessor1_Model61
23,12,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model61
23,12,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model61
26,26,accuracy,binary,0.9048403361344538,5,0.018617432490454278,Preprocessor1_Model62
26,26,bal_accuracy,binary,0.694815454304889,5,0.0690265966294584,Preprocessor1_Model62
26,26,roc_auc,binary,0.8875222221842703,5,0.02137092742154828,Preprocessor1_Model62
26,26,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model62
26,26,spec,binary,0.4180122337425708,5,0.15057611067924737,Preprocessor1_Model62
33,27,accuracy,binary,0.9009859943977591,5,0.019947137256399846,Preprocessor1_Model63
33,27,bal_accuracy,binary,0.6891469039849611,5,0.06902999183151146,Preprocessor1_Model63
33,27,roc_auc,binary,0.8801643244525822,5,0.02120656154061092,Preprocessor1_Model63
33,27,sens,binary,0.9692703382722953,5,0.025060038869393543,Preprocessor1_Model63
33,27,spec,binary,0.409023469697627,5,0.1523768577290405,Preprocessor1_Model63
